,id,latitude,longitude,room_type,price,host_class,distance,reviews
1028,30423657,44.49071,11.36648,Entire home/apt,3.6888794541139363,single,1.901001956556627,1.0986122886681096
1029,30423967,44.49859,11.32871,Entire home/apt,4.248495242049359,multi,1.2503727120102555,1.0986122886681096
1030,30451754,44.49067,11.30772,Entire home/apt,3.912023005428146,single,2.8290915404825876,1.6094379124341003
1031,30468812,44.50552442171762,11.35549396276474,Entire home/apt,4.382026634673881,single,1.6297382003369187,1.9459101490553132
1032,30489043,44.4930022,11.3189884,Entire home/apt,5.0106352940962555,business,1.9124925946115172,0.0
1033,30492021,44.49764,11.36227,Private room,4.248495242049359,multi,1.5880411623592567,0.0
1034,30503821,44.44927,11.35895,Private room,3.7376696182833684,multi,5.119313979121982,2.9444389791664403
1035,30516814,44.49764,11.36227,Private room,4.248495242049359,multi,1.5880411623592567,0.0
1036,30517323,44.49764,11.36227,Private room,4.248495242049359,multi,1.5880411623592567,0.0
1037,30518515,44.49764,11.36227,Private room,4.605170185988092,multi,1.5880411623592567,0.0
1038,30548270,44.49544,11.33721,Entire home/apt,4.02535169073515,single,0.4912983199823371,0.0
1039,30703383,44.4986,11.34277,Entire home/apt,4.31748811353631,single,0.5226073030803792,2.833213344056216
1040,30734396,44.50016,11.34532,Entire home/apt,4.867534450455582,single,0.7196991813641348,0.0
1041,30739823,44.50728,11.35676,Entire home/apt,4.174387269895637,multi,1.8461683434292402,1.6094379124341003
1042,30756717,44.4954,11.34693,Entire home/apt,4.584967478670572,business,0.3542543920392708,1.791759469228055
1043,30785861,44.50670623779297,11.37705898284912,Entire home/apt,4.605170185988092,multi,3.059846259169376,0.0
1044,30787074,44.4885,11.35642,Entire home/apt,4.23410650459726,single,1.2245819095881587,1.791759469228055
1045,30804970,44.49273,11.34834,Entire home/apt,5.003946305945459,multi,0.4442017799868212,1.9459101490553132
1046,30834949,44.49394,11.33288,Entire home/apt,4.248495242049359,business,0.8049551389875365,0.6931471805599453
1047,30852355,44.49223,11.3395,Entire home/apt,6.396929655216146,business,0.3345779539319915,0.0
1048,30929000,44.49475,11.34644,Entire home/apt,4.499809670330265,single,0.28946076972870716,1.6094379124341003
1049,30982099,44.49428,11.37035,Entire home/apt,4.6913478822291435,multi,2.1758321310872164,1.9459101490553132
1050,31019456,44.50363,11.34999,Private room,5.393627546352362,business,1.215797457835023,0.0
1051,31020702,44.49478,11.36348,Entire home/apt,4.867534450455582,multi,1.6319052997032868,1.0986122886681096
1052,31034035,44.49559,11.33312,Entire home/apt,4.382026634673881,business,0.8079710135271843,2.1972245773362196
1053,31068613,44.49816,11.3513,Entire home/apt,4.248495242049359,single,0.8123486824009918,1.9459101490553132
1054,31069336,44.49411,11.34485,Entire home/apt,4.48863636973214,single,0.1489877013345615,1.791759469228055
1055,31073494,44.49556,11.34846,Entire home/apt,4.442651256490317,single,0.4718364160258398,2.5649493574615367
1056,31116213,44.49556,11.34846,Entire home/apt,4.219507705176107,single,0.4718364160258398,2.995732273553991
1057,31145409,44.49252,11.37866,Entire home/apt,4.59511985013459,single,2.8405902668286585,1.0986122886681096
1058,31213342,44.50268,11.37037,Private room,4.605170185988092,single,2.385510495704045,0.0
1059,31248044,44.50167,11.31024,Private room,3.6109179126442243,multi,2.7448799375361435,2.302585092994046
1060,31300337,44.48707,11.34227,Entire home/apt,4.174387269895637,single,0.7612003451855268,2.70805020110221
1061,31395635,44.49617,11.33698,Entire home/apt,4.6913478822291435,business,0.5412033917627527,0.0
1062,31396468,44.51751,11.27339,Entire home/apt,4.189654742026425,multi,6.1258628435320075,0.0
1063,31402129,44.50286,11.31032,Private room,3.6109179126442243,multi,2.783335613657322,0.0
1064,31425103,44.49057,11.34654,Entire home/apt,3.912023005428146,single,0.46499585066059934,1.6094379124341003
1065,31441827,44.49411,11.34485,Entire home/apt,4.31748811353631,single,0.1489877013345615,1.0986122886681096
1066,31442404,44.51342,11.35309,Entire home/apt,5.0106352940962555,single,2.3128257428765013,0.6931471805599453
1067,31455036,44.51528,11.35023,Private room,4.248495242049359,single,2.444439729115088,1.791759469228055
1068,31462348,44.52255,11.38767,Entire home/apt,6.309918278226516,single,4.77017010500089,1.3862943611198906
1069,31470660,44.48927,11.34861,Private room,4.382026634673881,multi,0.6810629811641292,1.0986122886681096
1070,31522553,44.49427,11.3516,Entire home/apt,3.6635616461296463,business,0.6852773471374295,0.0
1071,31536421,44.49465,11.34796,Entire home/apt,5.298317366548036,multi,0.403223463475128,2.639057329615259
1072,31564715,44.4947509765625,11.346440315246582,Private room,4.248495242049359,business,0.2895198970942031,0.0
